user,computadores_distintos,total_logons,total_logoffs,computador_mais_usado,hora_logon_mais_comum,hora_logoff_mais_comum,logons_fim_de_semana,logons_dias_uteis,logons_fora_horario_comercial,logons_em_horario_comercial,logons_janela_acesso,proporcao_pc_mais_usado,pcs_distintos_dispositivo,total_atividades_dispositivo,connect_fora_horario_comercial,connect_em_horario_comercial,connect_fim_de_semana,connect_dias_uteis,connect_janela_acesso,total_connect_dispositivo,total_disconnect_dispositivo,conexoes_sem_desconexao,sites_distintos_visitados,total_acessos_http,acessos_fora_horario_comercial,acessos_em_horario_comercial,acessos_fim_de_semana,acessos_janela_acesso,visita_sites_compras,visita_sites_noticias,visita_sites_entretenimento,tamanho_medio_urls,termos_sensiveis_detectados,tamanho_medio_conteudo,diferenca_acessos_fora_dentro,risco,origem
0,0,7,0,1064,3,6,0,7,0,15,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1,0,91,97,1713,1,5,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,103,124,0,129,0,0,3,3,22,159,0,950,652,Médio,original
2,0,0,1,1625,2,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
3,1,263,183,1180,2,5,0,253,0,287,0,67,0,0,0,0,0,0,0,0,0,0,312,494,0,503,0,0,18,11,146,35,0,576,279,Médio,original
4,1,199,111,1576,1,2,0,178,81,177,0,287,0,0,0,0,0,0,0,0,0,0,50,45,1,46,0,0,2,2,7,727,1,956,731,Alto,original
5,0,0,1,1069,2,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
6,0,189,97,948,2,5,0,166,0,208,0,327,1,112,0,103,0,96,0,112,86,97,438,611,0,625,0,0,22,34,145,296,2,834,157,Alto,original
7,0,0,1,1051,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
8,1,8,2,625,2,5,0,8,0,16,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
9,0,0,0,987,1,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
10,1,336,256,69,2,5,94,264,63,246,16,189,0,0,0,0,0,0,0,0,0,0,113,251,0,209,37,0,1,3,115,436,0,79,569,Médio,original
11,1,170,242,154,2,3,34,139,35,163,14,138,1,69,4,32,29,36,0,69,52,56,349,716,0,700,93,0,21,92,288,957,0,508,81,Alto,original
12,0,0,0,1189,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
13,0,91,97,163,2,5,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,392,677,0,687,0,0,9,35,250,527,0,240,95,Médio,original
14,0,67,75,238,1,2,0,65,0,91,0,327,0,0,0,0,0,0,0,0,0,0,195,484,0,490,0,0,5,31,193,932,2,586,292,Alto,original
15,1,11,4,332,1,3,0,11,0,19,0,88,1,267,0,235,0,232,0,267,218,225,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
16,0,0,1,55,1,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
17,0,190,97,991,3,4,0,167,0,209,0,327,0,0,0,0,0,0,0,0,0,0,219,490,0,500,0,0,12,21,162,419,3,381,283,Alto,original
18,0,91,97,641,3,6,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,425,594,33,598,0,33,22,29,143,276,0,529,195,Médio,original
19,0,91,97,540,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,71,72,0,77,0,0,0,5,10,912,0,257,703,Baixo,original
20,2,10,4,1246,2,2,0,10,0,18,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
21,1,21,10,318,1,4,8,13,0,21,0,114,1,250,0,209,87,205,0,250,202,210,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
22,0,91,97,1217,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,215,427,0,441,0,0,4,21,149,881,0,803,346,Médio,original
23,0,91,97,1149,1,6,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,193,318,42,309,0,40,5,15,72,582,0,582,492,Médio,original
24,0,0,1,829,1,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
25,0,328,244,1548,1,3,87,231,61,217,19,327,0,0,0,0,0,0,0,0,0,0,342,604,24,499,85,0,27,11,238,503,1,459,287,Alto,original
26,0,0,1,489,2,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
27,0,0,1,1076,2,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
28,0,0,1,801,1,2,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
29,0,0,1,1144,3,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
30,0,0,1,524,2,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
31,0,91,97,519,2,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,257,369,0,386,0,0,4,10,66,462,0,780,395,Médio,original
32,0,186,97,573,1,3,0,163,0,205,0,327,1,14,0,18,0,16,0,14,12,15,359,597,0,610,0,0,15,37,199,752,0,672,171,Alto,original
