user,computadores_distintos,total_logons,total_logoffs,computador_mais_usado,hora_logon_mais_comum,hora_logoff_mais_comum,logons_fim_de_semana,logons_dias_uteis,logons_fora_horario_comercial,logons_em_horario_comercial,logons_janela_acesso,proporcao_pc_mais_usado,pcs_distintos_dispositivo,total_atividades_dispositivo,connect_fora_horario_comercial,connect_em_horario_comercial,connect_fim_de_semana,connect_dias_uteis,connect_janela_acesso,total_connect_dispositivo,total_disconnect_dispositivo,conexoes_sem_desconexao,sites_distintos_visitados,total_acessos_http,acessos_fora_horario_comercial,acessos_em_horario_comercial,acessos_fim_de_semana,acessos_janela_acesso,visita_sites_compras,visita_sites_noticias,visita_sites_entretenimento,tamanho_medio_urls,termos_sensiveis_detectados,tamanho_medio_conteudo,diferenca_acessos_fora_dentro
AAB0754,1,17,9,PC-5948,9,19,0,17,0,17,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AAC0070,1,345,345,PC-9582,7,18,0,345,0,345,0,1.0,,,,,,,,,,,162.0,230.0,0.0,230.0,0.0,0.0,3.0,3.0,22.0,51.74782608695652,0.0,414.40434782608696,-230.0
AAN0077,1,10,10,PC-9130,8,16,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AAP0946,2,727,458,PC-6599,8,18,0,727,0,727,0,0.809282700421941,,,,,,,,,,,415.0,1207.0,0.0,1207.0,0.0,0.0,18.0,11.0,152.0,51.148301574150786,0.0,408.9221209610605,-1207.0
AAR0716,2,631,362,PC-8861,7,15,0,631,171,460,0,0.9657603222557906,,,,,,,,,,,100.0,115.0,1.0,114.0,0.0,0.0,2.0,2.0,7.0,53.03478260869565,1.0,414.8086956521739,-113.0
AAR0994,1,10,10,PC-5977,8,16,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AAS0850,1,618,345,PC-5379,8,18,0,618,0,618,0,1.0,1.0,686.0,0.0,686.0,0.0,686.0,0.0,686.0,329.0,357.0,661.0,1770.0,0.0,1770.0,0.0,0.0,22.0,34.0,151.0,52.07457627118644,2.0,411.15593220338985,-1770.0
AAW0103,1,10,10,PC-5914,7,16,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AAW0295,2,18,11,PC-3473,8,18,0,18,0,18,0,0.8620689655172413,,,,,,,,,,,,,,,,,,,,,,,
ABC0586,1,10,9,PC-5619,7,18,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ABG0865,2,1024,656,PC-0410,8,18,282,742,75,667,16,0.9083333333333333,,,,,,,,,,,173.0,484.0,0.0,379.0,105.0,0.0,1.0,3.0,118.0,52.357438016528924,0.0,403.4586776859504,-379.0
ABH0821,2,574,574,PC-0924,8,16,119,455,41,414,14,0.8588850174216028,1.0,310.0,4.0,244.0,62.0,248.0,0.0,310.0,148.0,162.0,475.0,3142.0,0.0,2498.0,644.0,0.0,21.0,109.0,381.0,54.16772756206238,0.0,408.4984086569064,-2498.0
ABM0032,1,10,9,PC-6627,8,18,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ABM0089,1,345,345,PC-0985,8,18,0,345,0,345,0,1.0,,,,,,,,,,,549.0,2291.0,0.0,2291.0,0.0,0.0,9.0,35.0,297.0,52.55696202531646,0.0,406.2815364469664,-2291.0
ABM0173,1,266,266,PC-1346,7,15,0,266,0,266,0,1.0,,,,,,,,,,,280.0,1129.0,0.0,1129.0,0.0,0.0,5.0,31.0,205.0,53.89105403011514,2.0,408.95039858281666,-1129.0
ABM0513,2,21,13,PC-1782,7,16,0,21,0,21,0,0.8235294117647058,1.0,2095.0,0.0,2095.0,0.0,2095.0,0.0,2095.0,1034.0,1061.0,,,,,,,,,,,,,
ABM0964,1,10,10,PC-0298,7,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ABS0125,1,619,345,PC-5641,9,17,0,619,0,619,0,1.0,,,,,,,,,,,306.0,1200.0,0.0,1200.0,0.0,0.0,12.0,21.0,169.0,52.32833333333333,3.0,407.5733333333333,-1200.0
ABT0490,1,345,345,PC-3555,9,19,0,345,0,345,0,1.0,,,,,,,,,,,638.0,1658.0,35.0,1623.0,0.0,35.0,22.0,29.0,149.0,52.033775633293125,0.0,408.60977080820265,-1588.0
ABW0271,1,345,345,PC-3021,7,16,0,345,0,345,0,1.0,,,,,,,,,,,125.0,157.0,0.0,157.0,0.0,0.0,0.0,5.0,10.0,53.71974522292994,0.0,406.45859872611464,-157.0
ABW0466,3,20,13,PC-6995,8,15,0,20,0,20,0,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,
ABW0673,2,31,19,PC-1729,7,17,8,23,0,23,0,0.84,1.0,1964.0,0.0,1386.0,578.0,1386.0,0.0,1964.0,959.0,1005.0,,,,,,,,,,,,,
ACB0077,1,345,345,PC-6778,8,17,0,345,0,345,0,1.0,,,,,,,,,,,301.0,878.0,0.0,878.0,0.0,0.0,4.0,21.0,156.0,53.50911161731207,0.0,410.79498861047836,-878.0
ACB0393,1,345,345,PC-6420,7,19,0,345,0,345,0,1.0,,,,,,,,,,,277.0,612.0,44.0,568.0,0.0,44.0,5.0,15.0,72.0,52.69117647058823,0.0,408.94444444444446,-524.0
ACC0913,1,10,10,PC-4683,7,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ACC0950,1,959,580,PC-8672,7,16,260,699,72,627,19,1.0,,,,,,,,,,,466.0,1735.0,24.0,1186.0,525.0,0.0,27.0,11.0,280.0,52.50778097982709,1.0,408.0864553314121,-1162.0
ACE0265,1,10,10,PC-2723,8,16,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ACH0644,1,10,10,PC-6015,8,16,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ACJ0895,1,10,10,PC-4495,7,15,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ACL0394,1,10,10,PC-6394,9,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ACM0985,1,10,10,PC-2937,8,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ACP0847,1,345,345,PC-2914,8,16,0,345,0,345,0,1.0,,,,,,,,,,,348.0,715.0,0.0,715.0,0.0,0.0,4.0,10.0,66.0,52.40979020979021,0.0,410.5524475524476,-715.0
ACR0100,1,615,345,PC-3207,7,16,0,615,0,615,0,1.0,1.0,219.0,0.0,219.0,0.0,219.0,0.0,219.0,102.0,117.0,487.0,1702.0,0.0,1702.0,0.0,0.0,15.0,37.0,215.0,53.09576968272621,0.0,409.58989424206817,-1702.0
