user,computadores_distintos,total_logons,total_logoffs,computador_mais_usado,hora_logon_mais_comum,hora_logoff_mais_comum,logons_fim_de_semana,logons_dias_uteis,logons_fora_horario_comercial,logons_em_horario_comercial,logons_janela_acesso,proporcao_pc_mais_usado,pcs_distintos_dispositivo,total_atividades_dispositivo,connect_fora_horario_comercial,connect_em_horario_comercial,connect_fim_de_semana,connect_dias_uteis,connect_janela_acesso,total_connect_dispositivo,total_disconnect_dispositivo,conexoes_sem_desconexao,sites_distintos_visitados,total_acessos_http,acessos_fora_horario_comercial,acessos_em_horario_comercial,acessos_fim_de_semana,acessos_janela_acesso,visita_sites_compras,visita_sites_noticias,visita_sites_entretenimento,tamanho_medio_urls,termos_sensiveis_detectados,tamanho_medio_conteudo,diferenca_acessos_fora_dentro,classe,risco,sintetico
0,0,7,0,1064,3,6,0,7,0,15,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
1,0,91,97,1713,1,5,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,102,123,0,128,0,0,3,3,21,158,0,949,652,0,Baixo,0
2,0,0,1,1625,2,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
3,1,263,183,1180,2,5,0,253,0,287,0,67,1,351,99,312,116,305,64,351,290,302,311,493,0,502,0,0,18,11,145,34,0,575,279,0,Baixo,0
4,1,199,111,1576,1,2,0,178,81,177,0,287,1,351,99,312,116,305,64,351,290,302,49,44,1,45,0,0,2,2,6,726,1,955,731,1,Alto,0
5,0,0,1,1069,2,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
6,0,189,97,948,2,5,0,166,0,208,0,327,0,111,0,103,0,95,0,111,85,96,437,610,0,624,0,0,22,34,144,295,2,833,157,1,Alto,0
7,0,0,1,1051,1,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
8,1,8,2,625,2,5,0,8,0,16,0,144,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
9,0,0,0,987,1,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
10,1,336,256,69,2,5,94,264,63,246,16,189,1,351,99,312,116,305,64,351,290,302,112,250,0,208,37,0,1,3,114,435,0,78,569,1,Alto,0
11,1,170,242,154,2,3,34,139,35,163,14,138,0,68,4,32,29,35,0,68,51,55,348,715,0,699,93,0,21,92,287,956,0,507,81,1,Alto,0
12,0,0,0,1189,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
13,0,91,97,163,2,5,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,391,676,0,686,0,0,9,35,249,526,0,239,95,0,Baixo,0
14,0,67,75,238,1,2,0,65,0,91,0,327,1,351,99,312,116,305,64,351,290,302,194,483,0,489,0,0,5,31,192,931,2,585,292,0,Médio,0
15,1,11,4,332,1,3,0,11,0,19,0,88,0,266,0,235,0,231,0,266,217,224,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
16,0,0,1,55,1,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
17,0,190,97,991,3,4,0,167,0,209,0,327,1,351,99,312,116,305,64,351,290,302,218,489,0,499,0,0,12,21,161,418,3,380,283,0,Médio,0
18,0,91,97,641,3,6,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,424,593,33,597,0,33,22,29,142,275,0,528,195,0,Baixo,0
19,0,91,97,540,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,70,71,0,76,0,0,0,5,9,911,0,256,703,0,Baixo,0
20,2,10,4,1246,2,2,0,10,0,18,0,85,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
21,1,21,10,318,1,4,8,13,0,21,0,114,0,249,0,209,87,204,0,249,201,209,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
22,0,91,97,1217,2,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,214,426,0,440,0,0,4,21,148,880,0,802,346,0,Baixo,0
23,0,91,97,1149,1,6,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,192,317,42,308,0,40,5,15,71,581,0,581,492,0,Baixo,0
24,0,0,1,829,1,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
25,0,328,244,1548,1,3,87,231,61,217,19,327,1,351,99,312,116,305,64,351,290,302,341,603,24,498,85,0,27,11,237,502,1,458,287,1,Alto,0
26,0,0,1,489,2,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
27,0,0,1,1076,2,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
28,0,0,1,801,1,2,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
29,0,0,1,1144,3,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
30,0,0,1,524,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
31,0,91,97,519,2,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,256,368,0,385,0,0,4,10,65,461,0,779,395,0,Baixo,0
32,0,186,97,573,1,3,0,163,0,205,0,327,0,13,0,18,0,15,0,13,11,14,358,596,0,609,0,0,15,37,198,751,0,671,171,1,Alto,0
33,0,91,97,583,1,5,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,226,459,0,466,0,0,7,37,150,789,1,218,319,0,Médio,0
34,0,180,97,765,2,6,0,157,0,199,0,327,1,351,99,312,116,305,64,351,290,302,294,437,31,436,0,31,12,13,95,476,1,408,358,0,Médio,0
35,0,91,97,1072,2,2,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,324,484,0,490,0,0,14,29,122,217,0,831,291,0,Baixo,0
36,0,8,0,515,2,7,0,8,0,16,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
37,0,0,0,507,3,8,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
38,0,0,1,703,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
39,0,0,1,1057,1,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
40,0,91,97,498,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,21,24,0,26,0,0,0,3,6,891,0,556,750,0,Baixo,0
41,0,0,1,1715,2,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
42,0,0,1,1379,1,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
43,0,0,1,1419,1,2,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
44,0,91,97,1454,2,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,68,96,0,100,0,0,2,0,32,67,0,171,678,0,Baixo,0
45,0,0,1,1584,2,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
46,1,12,5,205,2,3,0,12,3,17,1,176,0,136,22,116,3,122,4,136,102,114,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
47,0,0,1,1458,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
48,0,0,1,720,1,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
49,0,0,0,1049,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
