user,risco_Grok,risco_DeepSeek,risco_ChatGratuito,risco_Copilot,risco_Gemini,risco_Especialista
AAB0754,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AAC0070,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
AAN0077,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AAP0946,Médio,Baixo,Baixo,Baixo,Médio,Baixo
AAR0716,Baixo,Alto,Médio,Médio,Alto,Alto
AAR0994,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AAS0850,Alto,Alto,Alto,Médio,Alto,Alto
AAW0103,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AAW0295,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ABC0586,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ABG0865,Médio,Alto,Médio,Baixo,Médio,Alto
ABH0821,Alto,Alto,Alto,Médio,Alto,Alto
ABM0032,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ABM0089,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
ABM0173,Médio,Médio,Médio,Médio,Alto,Médio
ABM0513,Médio,Baixo,Baixo,Baixo,Médio,Alto
ABM0964,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ABS0125,Médio,Médio,Médio,Médio,Alto,Médio
ABT0490,Médio,Médio,Médio,Médio,Médio,Baixo
ABW0271,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ABW0466,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ABW0673,Médio,Médio,Médio,Baixo,Alto,Alto
ACB0077,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
ACB0393,Baixo,Médio,Médio,Baixo,Médio,Baixo
ACC0913,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ACC0950,Alto,Alto,Alto,Alto,Alto,Alto
ACE0265,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ACH0644,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ACJ0895,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ACL0394,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ACM0985,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ACP0847,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
ACR0100,Médio,Médio,Médio,Médio,Alto,Alto
ACS0457,Médio,Médio,Médio,Médio,Alto,Médio
ACW0546,Médio,Alto,Alto,Médio,Alto,Médio
